"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"4359","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104805-noID.wav","IRON05_20210730_104805-noID.wav",NA,1,"",NA,32.56,"","","NaN/NaN","v.4.4.5"
"4360","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104822-noID.wav","IRON05_20210730_104822-noID.wav",NA,1,"",NA,62.61,"","","NaN/NaN","v.4.4.5"
"4361","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104839-noID.wav","IRON05_20210730_104839-noID.wav",NA,1,"",NA,45.52,"Laci","Laci","0.9644","v.4.4.5"
"4362","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104856-Laci.wav","IRON05_20210730_104856-Laci.wav",NA,1,"",NA,66.53,"Laci","Laci","0.9314","v.4.4.5"
"4363","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104913-noID.wav","IRON05_20210730_104913-noID.wav",NA,1,"",NA,69.19,"","","NaN/NaN","v.4.4.5"
"4364","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104930-noID.wav","IRON05_20210730_104930-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4365","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_104948-LoF.wav","IRON05_20210730_104948-LoF.wav",NA,NA,"",NA,66.53,"","","","v.4.4.5"
"4366","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105005-noID.wav","IRON05_20210730_105005-noID.wav",NA,NA,"",NA,66.53,"","","","v.4.4.5"
"4367","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105022-noID.wav","IRON05_20210730_105022-noID.wav",NA,1,"",NA,61.89,"","","NaN/NaN","v.4.4.5"
"4368","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105039-noID.wav","IRON05_20210730_105039-noID.wav",NA,1,"",NA,64.06,"Laci","Laci","0.9351","v.4.4.5"
"4369","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105056-LoF.wav","IRON05_20210730_105056-LoF.wav",NA,1,"",NA,63.28,"","","NaN/NaN","v.4.4.5"
"4370","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105113-LoF.wav","IRON05_20210730_105113-LoF.wav",NA,1,"",NA,40.94,"","","NaN/NaN","v.4.4.5"
"4371","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105130-noID.wav","IRON05_20210730_105130-noID.wav",NA,1,"",NA,43.11,"","","NaN/NaN","v.4.4.5"
"4372","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105147-LoF.wav","IRON05_20210730_105147-LoF.wav",NA,1,"",NA,68.5,"Laci","Laci","0.9409","v.4.4.5"
"4373","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105204-noID.wav","IRON05_20210730_105204-noID.wav",NA,1,"",NA,53.84,"","","NaN/NaN","v.4.4.5"
"4374","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105221-LoF.wav","IRON05_20210730_105221-LoF.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4375","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105238-noID.wav","IRON05_20210730_105238-noID.wav",NA,1,"",NA,63.19,"Laci","Laci","0.9949","v.4.4.5"
"4376","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105255-LoF.wav","IRON05_20210730_105255-LoF.wav",NA,1,"",NA,7.49,"","","NaN/NaN","v.4.4.5"
"4377","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105312-noID.wav","IRON05_20210730_105312-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4378","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105329-LoF.wav","IRON05_20210730_105329-LoF.wav",NA,1,"",NA,42.45,"","","NaN/NaN","v.4.4.5"
"4379","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105346-noID.wav","IRON05_20210730_105346-noID.wav",NA,1,"",NA,71.58,"","","NaN/NaN","v.4.4.5"
"4380","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105403-Laci.wav","IRON05_20210730_105403-Laci.wav",NA,1,"",NA,64.26,"","","NaN/NaN","v.4.4.5"
"4381","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105420-noID.wav","IRON05_20210730_105420-noID.wav",NA,NA,"",NA,67.83,"","","","v.4.4.5"
"4382","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105437-noID.wav","IRON05_20210730_105437-noID.wav",NA,1,"",NA,61.41,"","","NaN/NaN","v.4.4.5"
"4383","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105454-noID.wav","IRON05_20210730_105454-noID.wav",NA,1,"",NA,63.62,"","","NaN/NaN","v.4.4.5"
"4384","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105511-noID.wav","IRON05_20210730_105511-noID.wav",NA,1,"",NA,60.69,"","","NaN/NaN","v.4.4.5"
"4385","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105528-noID.wav","IRON05_20210730_105528-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4386","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105545-LoF.wav","IRON05_20210730_105545-LoF.wav",NA,1,"",NA,59.39,"","","NaN/NaN","v.4.4.5"
"4387","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_105602-Laci.wav","IRON05_20210730_105602-Laci.wav",NA,1,"",NA,58.14,"","","NaN/NaN","v.4.4.5"
