"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"1","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225215-noID.wav","IRON01_20210729_225215-noID.wav",1,NA,"",NA,16.51,"Mylu","Mylu/","1.00/0.00","v.4.4.5"
"2","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225232-HiF.wav","IRON01_20210729_225232-HiF.wav",1,NA,"",NA,6.93,"Mylu","Mylu","0.9969","v.4.4.5"
"3","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225249-Mylu.wav","IRON01_20210729_225249-Mylu.wav",1,1,"",NA,15.34,"Mylu","Mylu","1.0000","v.4.4.5"
"4","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225306-noID.wav","IRON01_20210729_225306-noID.wav",1,NA,"",NA,10.83,"Myvo","Myvo/","1.00/0.00","v.4.4.5"
"5","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225323-Lano.wav","IRON01_20210729_225323-Lano.wav",1,1,"",NA,9.64,"Lano","Mylu","0.9880","v.4.4.5"
"6","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225340-Lano.wav","IRON01_20210729_225340-Lano.wav",1,1,"Lano",1,7,"Lano","","","v.4.4.5"
"7","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225357-HiF.wav","IRON01_20210729_225357-HiF.wav",1,1,"",NA,11.32,"Lano","Mylu/Myvo/Myci","0.42/0.41/0.17","v.4.4.5"
"8","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225414-Lano.wav","IRON01_20210729_225414-Lano.wav",1,1,"Lano",1,2.34,"Lano","","","v.4.4.5"
"9","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225431-HiF.wav","IRON01_20210729_225431-HiF.wav",1,1,"",NA,11.69,"Mylu","Mylu","0.9947","v.4.4.5"
"10","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225448-Lano.wav","IRON01_20210729_225448-Lano.wav",1,1,"",NA,10.19,"Lano","Myvo","0.9273","v.4.4.5"
"11","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225505-HiF.wav","IRON01_20210729_225505-HiF.wav",1,NA,"",NA,9.12,"Myvo","Mylu/Myvo","0.50/0.50","v.4.4.5"
"12","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225522-Lano.wav","IRON01_20210729_225522-Lano.wav",1,1,"",NA,8.57,"Lano","Mylu/Myvo","0.64/0.36","v.4.4.5"
"13","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225539-HiF.wav","IRON01_20210729_225539-HiF.wav",1,1,"",NA,13.63,"Mylu","Mylu/Myev","0.50/0.50","v.4.4.5"
"14","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225556-Lano.wav","IRON01_20210729_225556-Lano.wav",1,1,"",NA,11.63,"Lano","Mylu","0.9992","v.4.4.5"
"15","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225613-HiF.wav","IRON01_20210729_225613-HiF.wav",1,NA,"",NA,6.88,"Mylu","Mylu","0.9090","v.4.4.5"
"16","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225630-HiLo.wav","IRON01_20210729_225630-HiLo.wav",1,1,"",NA,11.09,"Lano","Myvo","0.9987","v.4.4.5"
"17","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225647-Lano.wav","IRON01_20210729_225647-Lano.wav",1,1,"Lano",1,4.02,"Lano","","","v.4.4.5"
"18","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225704-Lano.wav","IRON01_20210729_225704-Lano.wav",1,1,"",NA,12.18,"Lano","","NaN/NaN","v.4.4.5"
"19","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225721-HiF.wav","IRON01_20210729_225721-HiF.wav",1,1,"",NA,9.42,"Myvo","Myvo","0.9810","v.4.4.5"
"20","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225738-HiF.wav","IRON01_20210729_225738-HiF.wav",1,1,"",NA,11.86,"Myvo","Myvo/Mylu","0.65/0.35","v.4.4.5"
"21","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225755-HiF.wav","IRON01_20210729_225755-HiF.wav",1,NA,"",NA,6.69,"Myvo","Myvo","0.9910","v.4.4.5"
"22","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225812-noID.wav","IRON01_20210729_225812-noID.wav",1,1,"",NA,6.61,"Lano","Myev/Mylu","0.59/0.41","v.4.4.5"
"23","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225829-HiF.wav","IRON01_20210729_225829-HiF.wav",1,1,"",NA,11.68,"Mylu","Mylu","0.9990","v.4.4.5"
"24","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225846-Lano.wav","IRON01_20210729_225846-Lano.wav",1,1,"",NA,6.51,"Lano","Lano","1.0000","v.4.4.5"
"25","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225903-Mylu.wav","IRON01_20210729_225903-Mylu.wav",1,NA,"",NA,3,"Mylu","Mylu","1.0000","v.4.4.5"
"26","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225920-Lano.wav","IRON01_20210729_225920-Lano.wav",1,1,"",NA,10.13,"Lano","Mylu/Myvo","0.51/0.49","v.4.4.5"
"27","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225937-Lano.wav","IRON01_20210729_225937-Lano.wav",1,1,"",NA,5.6,"Lano","Mylu","0.9233","v.4.4.5"
"28","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_225954-Lano.wav","IRON01_20210729_225954-Lano.wav",1,1,"Lano",1,7.47,"Lano","","","v.4.4.5"
"29","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230011-noID.wav","IRON01_20210729_230011-noID.wav",1,1,"",NA,11.19,"Mylu","Mylu","0.9984","v.4.4.5"
"30","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230028-HiF.wav","IRON01_20210729_230028-HiF.wav",1,NA,"",NA,10.94,"Mylu","Mylu","0.9971","v.4.4.5"
"31","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230045-HiF.wav","IRON01_20210729_230045-HiF.wav",1,NA,"",NA,11.19,"Mylu","Mylu","0.9965","v.4.4.5"
"32","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230102-Lano.wav","IRON01_20210729_230102-Lano.wav",1,1,"Lano",1,4.82,"Lano","","","v.4.4.5"
"33","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230119-Mylu.wav","IRON01_20210729_230119-Mylu.wav",1,1,"",NA,12.02,"Mylu","Mylu","1.0000","v.4.4.5"
"34","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230136-Lano.wav","IRON01_20210729_230136-Lano.wav",1,1,"",NA,14.41,"Lano","Mylu","0.9127","v.4.4.5"
"35","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230153-Epfu.wav","IRON01_20210729_230153-Epfu.wav",1,1,"",NA,8.82,"Epfu","Epfu","0.9997","v.4.4.5"
"36","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230210-HiLo.wav","IRON01_20210729_230210-HiLo.wav",1,1,"",NA,7.88,"Mylu","Mylu","0.9986","v.4.4.5"
"37","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230227-Lano.wav","IRON01_20210729_230227-Lano.wav",1,1,"Lano",1,6.57,"Lano","","","v.4.4.5"
"38","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230244-HiF.wav","IRON01_20210729_230244-HiF.wav",1,NA,"",NA,6.56,"Myvo","Myvo","0.9834","v.4.4.5"
"39","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230301-HiF.wav","IRON01_20210729_230301-HiF.wav",1,1,"",NA,10.91,"Mylu","Mylu","0.9989","v.4.4.5"
"40","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230318-HiLo.wav","IRON01_20210729_230318-HiLo.wav",1,1,"",NA,14.66,"Mylu","Mylu","0.9960","v.4.4.5"
"41","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230335-Lano.wav","IRON01_20210729_230335-Lano.wav",1,1,"",NA,15.48,"Lano","Mylu","0.9995","v.4.4.5"
"42","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230352-Lano.wav","IRON01_20210729_230352-Lano.wav",1,1,"",NA,10.79,"Lano","Mylu","0.9944","v.4.4.5"
"43","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230409-HiF.wav","IRON01_20210729_230409-HiF.wav",1,1,"",NA,10.63,"Myvo","Mylu/Myvo","0.52/0.48","v.4.4.5"
"44","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230426-Myvo.wav","IRON01_20210729_230426-Myvo.wav",1,1,"",NA,6.09,"Mylu","Mylu/Myci","0.64/0.36","v.4.4.5"
"45","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230443-Myvo.wav","IRON01_20210729_230443-Myvo.wav",1,1,"",NA,9.35,"Lano","Myvo","0.9496","v.4.4.5"
"46","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230500-Lano.wav","IRON01_20210729_230500-Lano.wav",1,1,"Lano",1,2.89,"Lano","","","v.4.4.5"
"47","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230517-HiF.wav","IRON01_20210729_230517-HiF.wav",1,NA,"",NA,11.24,"Myca","Myca","0.9657","v.4.4.5"
"48","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230534-Lano.wav","IRON01_20210729_230534-Lano.wav",1,1,"",NA,11.23,"Lano","Myvo","0.9713","v.4.4.5"
"49","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230551-Lano.wav","IRON01_20210729_230551-Lano.wav",1,1,"",NA,9.26,"Lano","Myca/","1.00/0.00","v.4.4.5"
"50","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230608-Lano.wav","IRON01_20210729_230608-Lano.wav",1,1,"Lano",1,7.84,"Lano","","","v.4.4.5"
"51","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230625-Lano.wav","IRON01_20210729_230625-Lano.wav",1,1,"Lano",1,3.81,"Lano","","","v.4.4.5"
"52","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230642-Lano.wav","IRON01_20210729_230642-Lano.wav",1,1,"",NA,11.47,"Lano","Myvo","0.9410","v.4.4.5"
"53","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230659-Lano.wav","IRON01_20210729_230659-Lano.wav",1,1,"",NA,8.17,"Myvo","Myvo","0.9995","v.4.4.5"
"54","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230716-HiF.wav","IRON01_20210729_230716-HiF.wav",1,1,"",NA,8.1,"Lano","Myca/Myvo","0.58/0.42","v.4.4.5"
"55","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230733-HiF.wav","IRON01_20210729_230733-HiF.wav",1,1,"",NA,10.92,"Myvo","Myvo","0.9776","v.4.4.5"
"56","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230750-Epfu.wav","IRON01_20210729_230750-Epfu.wav",1,1,"",NA,7.75,"Lano","Lano","0.9983","v.4.4.5"
"57","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230807-Myvo.wav","IRON01_20210729_230807-Myvo.wav",1,1,"",NA,8.15,"Myvo","Myvo","0.9983","v.4.4.5"
"58","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230824-Myvo.wav","IRON01_20210729_230824-Myvo.wav",1,1,"",NA,9.75,"Myvo","Lano/Epfu","0.55/0.45","v.4.4.5"
"59","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230841-HiF.wav","IRON01_20210729_230841-HiF.wav",1,1,"",NA,6.24,"Myvo","Myvo","0.9834","v.4.4.5"
"60","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230858-HiLo.wav","IRON01_20210729_230858-HiLo.wav",1,1,"",NA,9.99,"Lano","Myvo","0.9846","v.4.4.5"
"61","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230915-Lano.wav","IRON01_20210729_230915-Lano.wav",1,1,"",NA,7.07,"Lano","Myvo","0.9910","v.4.4.5"
"62","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230932-HiF.wav","IRON01_20210729_230932-HiF.wav",1,1,"",NA,8.44,"Myvo","Myvo","0.9393","v.4.4.5"
"63","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_230949-HiF.wav","IRON01_20210729_230949-HiF.wav",1,1,"",NA,10.65,"Myvo","Myvo/Mylu","0.50/0.50","v.4.4.5"
"64","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231006-HiF.wav","IRON01_20210729_231006-HiF.wav",1,NA,"",NA,11.14,"Myca","Myca","0.9992","v.4.4.5"
"65","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231023-Lano.wav","IRON01_20210729_231023-Lano.wav",1,1,"",NA,3.74,"Lano","Myvo","0.9588","v.4.4.5"
"66","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231040-HiF.wav","IRON01_20210729_231040-HiF.wav",1,1,"",NA,11.68,"Epfu","Mylu/Myvo","0.51/0.49","v.4.4.5"
"67","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231057-HiLo.wav","IRON01_20210729_231057-HiLo.wav",1,1,"",NA,10.27,"Myvo","Myvo/Mylu","0.63/0.37","v.4.4.5"
"68","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231114-HiLo.wav","IRON01_20210729_231114-HiLo.wav",1,1,"",NA,6.43,"Lano","Myvo/","1.00/0.00","v.4.4.5"
"69","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231131-HiF.wav","IRON01_20210729_231131-HiF.wav",1,1,"",NA,10.37,"Lano","Myca/Mylu","0.62/0.38","v.4.4.5"
"70","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231148-HiF.wav","IRON01_20210729_231148-HiF.wav",1,NA,"",NA,14,"Myvo","Myvo","0.9680","v.4.4.5"
"71","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231205-HiF.wav","IRON01_20210729_231205-HiF.wav",1,NA,"",NA,6.59,"Myca","Myca","0.9561","v.4.4.5"
"72","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231222-HiF.wav","IRON01_20210729_231222-HiF.wav",1,NA,"",NA,4.36,"Myvo","Myvo/Mylu","0.50/0.50","v.4.4.5"
"73","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231239-Epfu.wav","IRON01_20210729_231239-Epfu.wav",1,1,"",NA,16.66,"Lano","Mylu/Myvo","0.55/0.45","v.4.4.5"
"74","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231256-HiLo.wav","IRON01_20210729_231256-HiLo.wav",1,1,"",NA,11.59,"Myvo","Myvo","1.0000","v.4.4.5"
"75","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231313-noID.wav","IRON01_20210729_231313-noID.wav",1,1,"",NA,10.32,"Myvo","Mylu/Myvo/Myca","0.39/0.36/0.25","v.4.4.5"
"76","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231330-Mylu.wav","IRON01_20210729_231330-Mylu.wav",1,NA,"",NA,11.55,"Mylu","Mylu","0.9999","v.4.4.5"
"77","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231347-noID.wav","IRON01_20210729_231347-noID.wav",1,NA,"",NA,7.22,"Mylu","Mylu","0.9162","v.4.4.5"
"78","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231404-HiF.wav","IRON01_20210729_231404-HiF.wav",1,1,"",NA,10.04,"Lano","Myvo/","1.00/0.00","v.4.4.5"
"79","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231421-HiF.wav","IRON01_20210729_231421-HiF.wav",1,1,"",NA,1.34,"Myvo","Myvo","0.9862","v.4.4.5"
"80","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231438-noID.wav","IRON01_20210729_231438-noID.wav",1,NA,"",NA,11.67,"Myvo","Mylu/Myvo","0.55/0.45","v.4.4.5"
"81","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231455-Myvo.wav","IRON01_20210729_231455-Myvo.wav",1,1,"",NA,9.39,"Myvo","Myvo","0.9990","v.4.4.5"
"82","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231512-HiF.wav","IRON01_20210729_231512-HiF.wav",1,1,"",NA,13.1,"Myvo","Myvo","0.9977","v.4.4.5"
"83","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231529-Myvo.wav","IRON01_20210729_231529-Myvo.wav",1,NA,"",NA,12.09,"Myvo","Myvo","0.9784","v.4.4.5"
"84","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231546-HiF.wav","IRON01_20210729_231546-HiF.wav",1,1,"",NA,6.57,"Lano","Lano","1.0000","v.4.4.5"
"85","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231603-LoF.wav","IRON01_20210729_231603-LoF.wav",1,1,"",NA,11.93,"Lano","Lano","0.9981","v.4.4.5"
"86","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231620-noID.wav","IRON01_20210729_231620-noID.wav",1,1,"",NA,11.35,"Myvo","Myvo","0.9991","v.4.4.5"
"87","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231637-LoF.wav","IRON01_20210729_231637-LoF.wav",1,1,"",NA,10.68,"Epfu","Epfu","0.9879","v.4.4.5"
"88","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231654-Epfu.wav","IRON01_20210729_231654-Epfu.wav",1,1,"",NA,11.44,"Epfu","Epfu/Lano","0.54/0.46","v.4.4.5"
"89","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231711-noID.wav","IRON01_20210729_231711-noID.wav",1,NA,"",NA,15.71,"Myvo","Mylu/Myvo","0.51/0.49","v.4.4.5"
"90","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231728-HiF.wav","IRON01_20210729_231728-HiF.wav",1,NA,"",NA,9.31,"Myvo","Myvo","1.0000","v.4.4.5"
"91","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231745-Lano.wav","IRON01_20210729_231745-Lano.wav",1,1,"Lano",1,6.66,"Lano","","","v.4.4.5"
"92","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231802-Myvo.wav","IRON01_20210729_231802-Myvo.wav",1,1,"",NA,11.78,"Myvo","Myvo","0.9996","v.4.4.5"
"93","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231819-HiF.wav","IRON01_20210729_231819-HiF.wav",1,NA,"",NA,9.62,"Myvo","Myvo","1.0000","v.4.4.5"
"94","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231836-HiF.wav","IRON01_20210729_231836-HiF.wav",1,NA,"",NA,13.57,"Myvo","Myvo","0.9999","v.4.4.5"
"95","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231853-Myvo.wav","IRON01_20210729_231853-Myvo.wav",1,NA,"",NA,7.44,"Myvo","Myvo","1.0000","v.4.4.5"
"96","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231910-noID.wav","IRON01_20210729_231910-noID.wav",1,NA,"",NA,6.17,"Myvo","Myvo","0.9959","v.4.4.5"
"97","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231927-HiF.wav","IRON01_20210729_231927-HiF.wav",1,NA,"",NA,9.36,"Myvo","Mylu/Myvo","0.52/0.48","v.4.4.5"
"98","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_231944-noID.wav","IRON01_20210729_231944-noID.wav",1,NA,"",NA,6.84,"Myvo","Myvo","0.9972","v.4.4.5"
"99","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232001-HiF.wav","IRON01_20210729_232001-HiF.wav",1,NA,"",NA,2.79,"Myvo","Myvo","0.9223","v.4.4.5"
"100","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232018-HiF.wav","IRON01_20210729_232018-HiF.wav",1,NA,"",NA,7.77,"Myvo","Myvo","0.9975","v.4.4.5"
"101","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232035-Myvo.wav","IRON01_20210729_232035-Myvo.wav",1,NA,"",NA,5.71,"Myvo","Myvo","1.0000","v.4.4.5"
"102","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232052-HiF.wav","IRON01_20210729_232052-HiF.wav",1,NA,"",NA,11.23,"Mylu","Mylu","0.9664","v.4.4.5"
"103","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232110-noID.wav","IRON01_20210729_232110-noID.wav",1,1,"",NA,7.11,"Mylu","Myev/Mylu","0.54/0.46","v.4.4.5"
"104","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232122-HiF.wav","IRON01_20210729_232122-HiF.wav",1,NA,"",NA,9.72,"Myvo","Myvo/","1.00/0.00","v.4.4.5"
"105","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232139-Mylu.wav","IRON01_20210729_232139-Mylu.wav",1,NA,"",NA,10.95,"Mylu","Mylu","1.0000","v.4.4.5"
"106","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232156-Mylu.wav","IRON01_20210729_232156-Mylu.wav",1,NA,"",NA,9.7,"Mylu","Mylu","1.0000","v.4.4.5"
"107","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232213-Mylu.wav","IRON01_20210729_232213-Mylu.wav",1,NA,"",NA,2.41,"Mylu","Mylu","0.9998","v.4.4.5"
"108","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232230-HiF.wav","IRON01_20210729_232230-HiF.wav",1,NA,"",NA,8.56,"Myvo","Myvo/","1.00/0.00","v.4.4.5"
"109","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232247-noID.wav","IRON01_20210729_232247-noID.wav",1,NA,"",NA,9.03,"","","NaN/NaN","v.4.4.5"
"110","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232302-noID.wav","IRON01_20210729_232302-noID.wav",1,NA,"",NA,11.1,"Mylu","Mylu","0.9697","v.4.4.5"
"111","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232308-Epfu.wav","IRON01_20210729_232308-Epfu.wav",1,1,"",NA,11.22,"Epfu","","NaN/NaN","v.4.4.5"
"112","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232325-LoF.wav","IRON01_20210729_232325-LoF.wav",1,1,"",NA,2.12,"Epfu","Myvo","0.9426","v.4.4.5"
"113","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232342-HiF.wav","IRON01_20210729_232342-HiF.wav",1,NA,"",NA,9.39,"Myvo","Myvo","0.9882","v.4.4.5"
"114","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232359-Mylu.wav","IRON01_20210729_232359-Mylu.wav",1,NA,"",NA,4.72,"Mylu","Mylu","0.9990","v.4.4.5"
"115","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232417-noID.wav","IRON01_20210729_232417-noID.wav",1,NA,"",NA,9.94,"Mylu","Mylu","0.9868","v.4.4.5"
"116","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232434-HiF.wav","IRON01_20210729_232434-HiF.wav",1,1,"",NA,6.78,"Mylu","Mylu","0.9278","v.4.4.5"
"117","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232451-noID.wav","IRON01_20210729_232451-noID.wav",1,NA,"",NA,1.02,"","","NaN/NaN","v.4.4.5"
"118","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232508-Myci.wav","IRON01_20210729_232508-Myci.wav",1,NA,"",NA,10.45,"Myci","Myci","0.9978","v.4.4.5"
"119","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232525-noID.wav","IRON01_20210729_232525-noID.wav",1,NA,"",NA,10.83,"Mylu","Mylu/","1.00/0.00","v.4.4.5"
"120","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232534-noID.wav","IRON01_20210729_232534-noID.wav",1,NA,"",NA,12.29,"","","NaN/NaN","v.4.4.5"
"121","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232548-noID.wav","IRON01_20210729_232548-noID.wav",1,NA,"",NA,13.05,"Myci","Myci/Mylu","0.59/0.41","v.4.4.5"
"122","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232609-noID.wav","IRON01_20210729_232609-noID.wav",1,NA,"",NA,5.14,"Mylu","Mylu/","1.00/0.00","v.4.4.5"
"123","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232626-Lano.wav","IRON01_20210729_232626-Lano.wav",1,1,"",NA,8.22,"Lano","Mylu","0.9999","v.4.4.5"
"124","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232645-noID.wav","IRON01_20210729_232645-noID.wav",1,NA,"",NA,9.6,"Mylu","Mylu","0.9785","v.4.4.5"
"125","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232704-HiLo.wav","IRON01_20210729_232704-HiLo.wav",1,1,"",NA,9.52,"Myvo","Mylu/Myvo","0.60/0.40","v.4.4.5"
"126","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232721-noID.wav","IRON01_20210729_232721-noID.wav",1,1,"",NA,9.18,"Lano","Lano","0.9819","v.4.4.5"
"127","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232739-Lano.wav","IRON01_20210729_232739-Lano.wav",1,1,"",NA,5.49,"Lano","Myvo/Mylu","0.53/0.47","v.4.4.5"
"128","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232756-HiF.wav","IRON01_20210729_232756-HiF.wav",1,NA,"",NA,10.61,"Myvo","Myvo/","1.00/0.00","v.4.4.5"
"129","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232813-noID.wav","IRON01_20210729_232813-noID.wav",1,NA,"",NA,11.49,"Mylu","Mylu/Myvo","0.66/0.34","v.4.4.5"
"130","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232830-HiF.wav","IRON01_20210729_232830-HiF.wav",1,NA,"",NA,2.81,"Myvo","Myvo","0.9997","v.4.4.5"
"131","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232847-noID.wav","IRON01_20210729_232847-noID.wav",1,NA,"",NA,4.77,"","","NaN/NaN","v.4.4.5"
"132","Z:\PioneerLights_2021\iron01\sm4\Data\IRON01_20210729_232853-HiF.wav","IRON01_20210729_232853-HiF.wav",1,NA,"",NA,9.07,"Mylu","Mylu","0.9978","v.4.4.5"
